Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"Italy","IT.ISPRA.AQD","2023","NET.IT001A","Rete provinciale Provincia di Ancona","UTC+01","IT0456A","1104213","SENIGALLIA","SPO.IT0456A_20_GC-FID_2004-09-02_00:00:00","C6H6","13.22194","43.71417","5.0","m","urban","traffic","01/09/2004 23:00:00","29/04/2013 23:00:00","SAM.IT0456A_20_GC-FID_2004-09-02_00:00:00","3.5","m","300.0","m","3.0","m","","","","","","0","","","","","INCROCIO DELLA PENNA - Senigallia (AN)","","","25.0","","0.08","15.0","7.0","50","30000","SPP.IT0456A_20_GC-FID_2004-09-02_00:00:00","01/09/2004 23:00:00","29/04/2013 23:00:00","automatic","GC-FID","","SRI8610","","","","","","no","","0.3","ug.m-3","Le misurazioni effettuate seguono le procedure di tracciabilit? del dato rilevato","in preparation","30","minute","30","minute","http://cdr.eionet.europa.eu/it/eu/aqd/d/envzpza7a/IT_D_2023_202407161140.xml","05/09/2024 03:23:48"
"Italy","IT.ISPRA.AQD","2023","NET.IT001A","Rete provinciale Provincia di Ancona","UTC+01","IT1564A","1104215","ANCONA/VIA BOCCONI","SPO.IT1564A_20_GC-FID_2004-09-17_00:00:00","C6H6","13.51472","43.60778","5.0","m","urban","traffic","16/09/2004 23:00:00","29/04/2013 23:00:00","SAM.IT1564A_20_GC-FID_2004-09-17_00:00:00","3.5","m","100.0","m","6.0","m","","","","","","0","","","","","VIA BOCCONI - Ancona (AN)","","","100.0","","0.02","20.0","15.0","50","35000","SPP.IT1564A_20_GC-FID_2004-09-17_00:00:00","16/09/2004 23:00:00","29/04/2013 23:00:00","automatic","GC-FID","","SRI8610","","","","","","no","","0.3","ug.m-3","Le misurazioni effettuate seguono le procedure di tracciabilit? del dato rilevato","in preparation","30","minute","30","minute","http://cdr.eionet.europa.eu/it/eu/aqd/d/envzpza7a/IT_D_2023_202407161140.xml","05/09/2024 03:23:48"
"Italy","IT.ISPRA.AQD","2023","NET.IT001A","Rete provinciale Provincia di Ancona","UTC+01","IT1693A","1104221","Ancona - Porto","SPO.IT1693A_20_GC-FID_2007-01-01_00:00:00","C6H6","13.50139","43.61444","1.0","m","suburban","industrial","01/01/2007 00:00:00","29/04/2013 23:00:00","SAM.IT1693A_20_GC-FID_2007-01-01_00:00:00","3.5","m","","","","","800.0","m","","","","0","","","","","Via Einaudi - Ancona (AN)","","","","","","","","","","SPP.IT1693A_20_GC-FID_2007-01-01_00:00:00","01/01/2007 00:00:00","29/04/2013 23:00:00","automatic","GC-FID","","SRI8610","","","","","","no","","0.3","ug.m-3","Le misurazioni effettuate seguono le procedure di tracciabilit? del dato rilevato","in preparation","30","minute","30","minute","http://cdr.eionet.europa.eu/it/eu/aqd/d/envzpza7a/IT_D_2023_202407161140.xml","05/09/2024 03:23:48"
"Italy","IT.ISPRA.AQD","2023","NET.IT082A","Rete di Rilevamento della Qualit� dell'Aria della Provincia di Milano","UTC+01","IT0477A","301526","MILANO - V.LE MARCHE","SPO.IT0477A_20_GC-PID_2012-09-24_00:00:00","C6H6","9.19139","45.49556","122.0","m","urban","traffic","23/09/2012 23:00:00","","SAM.IT0477A_20_GC-PID_2012-09-24_00:00:00","3.5","m","7.0","m","5.0","m","","","","","","0","","","","","VIALE MARCHE 71 - Milano (MI)","","","90.0","","-9999.00","","","-9999","-9999","SPP.IT0477A_20_GC-PID_2012-09-24_00:00:00","23/09/2012 23:00:00","","automatic","","","GC855BTX","","","","","","ref","","0.1","ug.m-3","Verifiche nell'ambito dei programmi QA/QC","in preparation","1","hour","1","hour","http://cdr.eionet.europa.eu/it/eu/aqd/d/envzpza7a/IT_D_2023_202407161140.xml","05/09/2024 03:23:48"
"Italy","IT.ISPRA.AQD","2023","NET.IT082A","Rete di Rilevamento della Qualit� dell'Aria della Provincia di Milano","UTC+01","IT1016A","301537","MILANO - SENATO","SPO.IT1016A_20_GC-PID_1998-09-01_00:00:00","C6H6","9.19806","45.46972","122.0","m","urban","traffic","31/08/1998 23:00:00","","SAM.IT1016A_20_GC-PID_1998-09-01_00:00:00","3.5","m","18.0","m","5.0","m","","","","","","0","","","","","VIA SENATO ANG MARINA - Milano (MI)","","","230.0","","0.10","","","50","21000","SPP.IT1016A_20_GC-PID_1998-09-01_00:00:00","31/08/1998 23:00:00","","automatic","","","GC855BTX","","","","","","ref","","0.1","ug.m-3","Verifiche nell'ambito dei programmi QA/QC","in preparation","1","hour","1","hour","http://cdr.eionet.europa.eu/it/eu/aqd/d/envzpza7a/IT_D_2023_202407161140.xml","05/09/2024 03:23:48"
"Italy","IT.ISPRA.AQD","2023","NET.IT082A","Rete di Rilevamento della Qualit� dell'Aria della Provincia di Milano","UTC+01","IT1692A","301568","MILANO PASCAL CITT� STUDI","SPO.IT1692A_20_GC-PID_2012-09-13_00:00:00","C6H6","9.23583","45.47833","122.0","m","urban","background","12/09/2012 23:00:00","","SAM.IT1692A_20_GC-PID_2012-09-13_00:00:00","3.5","m","","","","","","","","","","0","","","","","via Pascal - Milano (MI)","","","","","","","","","","SPP.IT1692A_20_GC-PID_2012-09-13_00:00:00","12/09/2012 23:00:00","","automatic","","","GC955","","","","","","ref","","0.1","ug.m-3","Verifiche nell'ambito dei programmi QA/QC","in preparation","1","hour","1","hour","http://cdr.eionet.europa.eu/it/eu/aqd/d/envzpza7a/IT_D_2023_202407161140.xml","05/09/2024 03:23:48"
"Italy","IT.ISPRA.AQD","2023","NET.IT082A","Rete di Rilevamento della Qualit� dell'Aria della Provincia di Milano","UTC+01","IT1792A","301570","CASSANO VIA MILANO","SPO.IT1792A_20_GC-PID_2006-02-17_00:00:00","C6H6","9.50333","45.52806","133.0","m","urban","traffic","17/02/2006 00:00:00","","SAM.IT1792A_20_GC-PID_2006-02-17_00:00:00","3.5","m","30.0","m","7.0","m","","","","","","0","","","","","VIA MILANO - Cassano d'Adda (MI)","","","100.0","","-9999.00","","","-9999","-9999","SPP.IT1792A_20_GC-PID_2006-02-17_00:00:00","17/02/2006 00:00:00","","automatic","","","GC955","","","","","","ref","","0.1","ug.m-3","Verifiche nell'ambito dei programmi QA/QC","in preparation","1","hour","1","hour","http://cdr.eionet.europa.eu/it/eu/aqd/d/envzpza7a/IT_D_2023_202407161140.xml","05/09/2024 03:23:48"
"Italy","IT.ISPRA.AQD","2023","NET.IT085A","PROVINCIAL MONITORING NETWORK OF BOLZANO","UTC+01","IT1335A","402112","ME1 Merano","SPO.IT1335A_20_GC-PID_2001-02-10_00:00:00","C6H6","11.16163","46.66200","297.0","m","urban","traffic","10/02/2001 00:00:00","01/01/2015 00:00:00","SAM.IT1335A_20_GC-PID_2001-02-10_00:00:00","4.7","m","27.0","m","10.0","m","","","","","","0","","","","","VIA TROGMANN - Merano (BZ)","","","85.0","","0.05","-9999.0","-9999.0","30","12625","SPP.IT1335A_20_GC-PID_2001-02-10_00:00:00","10/02/2001 00:00:00","01/01/2015 00:00:00","automatic","","","GC955-600","","","","","","ref","","0.1","ug.m-3","in prep","in prep","1","hour","1","hour","http://cdr.eionet.europa.eu/it/eu/aqd/d/envzpza7a/IT_D_2023_202407161140.xml","05/09/2024 03:23:48"
"Italy","IT.ISPRA.AQD","2023","NET.IT085A","PROVINCIAL MONITORING NETWORK OF BOLZANO","UTC+01","IT2096A","2102127","BZ6 Bolzano","SPO.IT2096A_20_GC-PID_2012-03-09_00:00:00","C6H6","11.34197","46.49917","260.0","m","urban","background","09/03/2012 00:00:00","","SAM.IT2096A_20_GC-PID_2012-03-09_00:00:00","4.1","m","13.0","m","2.0","m","","","","","","0","","","","","VIA AMBA ALAGI 5 - Bolzano (BZ)","","","-9999.0","","-9999.00","-9999.0","-9999.0","-9999","-9999","SPP.IT2096A_20_GC-PID_2012-03-09_00:00:00","09/03/2012 00:00:00","","automatic","","","GC955-600","","","","","","ref","","0.1","ug.m-3","in Prep","in prep","1","hour","1","hour","http://cdr.eionet.europa.eu/it/eu/aqd/d/envzpza7a/IT_D_2023_202407161140.xml","05/09/2024 03:23:48"
"Italy","IT.ISPRA.AQD","2023","NET.IT090A","TRENTINO URBAN AND REGION NETWORK","UTC+01","IT1859A","402211","TRENTO VBZ","SPO.IT1859A_20_GC-FID_2009-01-12_00:00:00","C6H6","11.11023","46.10434","197.0","m","urban","traffic","12/01/2009 00:00:00","","SAM.IT1859A_20_GC-FID_2009-01-12_00:00:00","4.0","m","15.0","m","5.0","m","","","","","","0","","","","","Via Bolzano - Trento (TN)","","","-9999.0","","-9999.00","","15.0","-9999","-9999","SPP.IT1859A_20_GC-FID_2009-01-12_00:00:00","12/01/2009 00:00:00","","automatic","GC-FID","","GC955-600","","","","","","ref","","0.1","ug.m-3","in preparation","in preparation","1","day","1","day","http://cdr.eionet.europa.eu/it/eu/aqd/d/envzpza7a/IT_D_2023_202407161140.xml","05/09/2024 03:23:48"
"Italy","IT.ISPRA.AQD","2023","NET.IT091A","Rete di Rilevamento della Qualit� dell'Aria della Provincia di Bergamo","UTC+01","IT0997A","301608","BERGAMO - VIA GARIBALDI","SPO.IT0997A_20_GC-PID_1997-07-31_00:00:00","C6H6","9.66167","45.69569","249.0","m","urban","traffic","30/07/1997 23:00:00","","SAM.IT0997A_20_GC-PID_1997-07-31_00:00:00","3.0","m","10.0","m","2.0","m","","","","","","0","","","","","VIA G.GARIBALDI , 11/13 - Bergamo (BG)","","","363.0","","-9999.00","","","-9999","-9999","SPP.IT0997A_20_GC-PID_1997-07-31_00:00:00","30/07/1997 23:00:00","","automatic","","","GC955","","","","","","ref","","0.1","ug.m-3","verifiche nell'ambito dei programmi QA\QC","in preparation","1","hour","1","hour","http://cdr.eionet.europa.eu/it/eu/aqd/d/envzpza7a/IT_D_2023_202407161140.xml","05/09/2024 03:23:48"
"Italy","IT.ISPRA.AQD","2023","NET.IT091A","Rete di Rilevamento della Qualit� dell'Aria della Provincia di Bergamo","UTC+01","IT1876A","301623","CALUSCO","SPO.IT1876A_20_GC-PID_2006-06-30_00:00:00","C6H6","9.46667","45.68333","273.0","m","suburban","background","29/06/2006 23:00:00","","SAM.IT1876A_20_GC-PID_2006-06-30_00:00:00","3.0","m","","","","","","","","","","0","","","","","Via caduti sul lavoro - Calusco d'Adda (BG)","","","","","","","","","","SPP.IT1876A_20_GC-PID_2006-06-30_00:00:00","29/06/2006 23:00:00","","automatic","","","GC955","","","","","","ref","","0.1","ug.m-3","verifiche nell'ambito dei programmi QA\QC","in preparation","1","hour","1","hour","http://cdr.eionet.europa.eu/it/eu/aqd/d/envzpza7a/IT_D_2023_202407161140.xml","05/09/2024 03:23:48"
"Italy","IT.ISPRA.AQD","2023","NET.IT091A","Rete di Rilevamento della Qualit� dell'Aria della Provincia di Bergamo","UTC+01","IT2062A","301624","DALMiNE - Via Verdi","SPO.IT2062A_20_GC-PID_2010-02-18_00:00:00","C6H6","9.61472","45.64389","207.0","m","urban","background","18/02/2010 00:00:00","","SAM.IT2062A_20_GC-PID_2010-02-18_00:00:00","3.0","m","10.0","m","2.0","m","","","","","","0","","","","","Via Verdi - Dalmine (BG)","","","92.0","","-9999.00","","","-9999","-9999","SPP.IT2062A_20_GC-PID_2010-02-18_00:00:00","18/02/2010 00:00:00","","automatic","","","GC866","","","","","","ref","","0.1","ug.m-3","verifiche nell'ambito dei programmi QA\QC","in preparation","1","hour","1","hour","http://cdr.eionet.europa.eu/it/eu/aqd/d/envzpza7a/IT_D_2023_202407161140.xml","05/09/2024 03:23:48"
"Italy","IT.ISPRA.AQD","2023","NET.IT092A","Rete di Rilevamento della Qualit� dell'Aria della Provincia di Brescia","UTC+01","IT1251A","301717","BRESCIA - VIA TURATI","SPO.IT1251A_20_GC-PID_2015-12-16_19:00:00","C6H6","10.23194","45.53861","170.0","m","urban","traffic","16/12/2015 19:00:00","","SAM.IT1251A_20_GC-PID_2015-12-16_19:00:00","3.0","m","19.0","m","7.0","m","","","","","","0","","","","","VIA TURATI - Brescia (BS)","","","360.0","","-9999.00","","","-9999","-9999","SPP.IT1251A_20_GC-PID_2015-12-16_19:00:00","16/12/2015 19:00:00","","automatic","","","unknown","","","","","","ref","","0.1","ug.m-3","Verifiche nell'ambito dei programmi QA/QC","in preparation","1","hour","1","hour","http://cdr.eionet.europa.eu/it/eu/aqd/d/envzpza7a/IT_D_2023_202407161140.xml","05/09/2024 03:23:48"
