ID,Inizio (YYYY-MM-DD h:min:s),Inizio (DD/MM/YYYY),Fine (YYYY-MM-DD h:min:s),Fine (DD/MM/YYYY),Year,Value (μg.m-3),Comune,Indirizzo,Air Quality Station Area,Latitudine,Longitudine,EOL Code stazione,Tipo stazione,Provincia,Provincia (nome completo),Regione,Area,Area (macro)
SPO.IT2160A_20_GC-MS_2017-01-01_00:00:00,2018-02-01 19:00:00,01/02/2018,2018-02-01 20:00:00,01/02/2018,2018,"709,9",L'Aquila,"C972+48 L'Aquila, Province of L'Aquila, Italy",rural,"42,41278","13,35083",IT2160A,fondo,AQ,L'Aquila,Abruzzo,Sud,Sud e isole
SPO.IT1269A_20_GC-FID_2001-12-07_00:00:00,2021-07-31 7:00:00,31/07/2021,2021-07-31 8:00:00,31/07/2021,2021,"259,72101",Sarroch,"Via al Mare, 2, 09018 Sarroch CA, Italy",suburban,"39,07000","9,01667",IT1269A,industriale,CA,Cagliari,Sardegna,Isole,Sud e isole
SPO.IT1269A_20_GC-FID_2001-12-07_00:00:00,2021-07-31 5:00:00,31/07/2021,2021-07-31 6:00:00,31/07/2021,2021,"248,95599",Sarroch,"Via al Mare, 2, 09018 Sarroch CA, Italy",suburban,"39,07000","9,01667",IT1269A,industriale,CA,Cagliari,Sardegna,Isole,Sud e isole
SPO.IT2108A_20_GC-PID_2012-01-01_00:00:00,2020-03-18 7:00:00,18/03/2020,2020-03-18 8:00:00,18/03/2020,2020,"211,47",Bragno,"Via Sergio Scaiola, 7, 17014 Bragno SV, Italy",suburban,"44,37494","8,29868",IT2108A,industriale,SV,Savona,Liguria,Nord-ovest,Nord
SPO.IT0692A_20_GC-PID_2009-01-01_00:00:00,2021-10-15 9:00:00,15/10/2021,2021-10-15 10:00:00,15/10/2021,2021,"200,31372",Sannazzaro de' Burgondi,"Via Bigli, 28, 27039 Sannazzaro de' Burgondi PV, Italy",urban,"45,10167","8,90556",IT0692A,industriale,PV,Pavia,Lombardia,Nord-ovest,Nord
SPO.IT0614A_20_GC-FID_2014-01-01_00:00:00,2021-10-29 17:00:00,29/10/2021,2021-10-29 18:00:00,29/10/2021,2021,"199,01",Priolo Gargallo,"Via del Fico, 1, 96010 Priolo Gargallo SR, Italy",urban,"37,15612","15,19087",IT0614A,fondo,SR,Siracusa,Sicilia,Isole,Sud e isole
SPO.IT0618A_20_GC-FID_1983-04-30_23:00:00,2022-03-24 4:00:00,24/03/2022,2022-03-24 5:00:00,24/03/2022,2022,"193,436",Augusta,"Via Vettor Pisani, 1, 96011 Augusta SR, Italy",urban,"37,21840","15,22050",IT0618A,fondo,SR,Siracusa,Sicilia,Isole,Sud e isole
SPO.IT2108A_20_GC-PID_2012-01-01_00:00:00,2020-03-19 9:00:00,19/03/2020,2020-03-19 10:00:00,19/03/2020,2020,"180,78",Bragno,"Via Sergio Scaiola, 7, 17014 Bragno SV, Italy",suburban,"44,37494","8,29868",IT2108A,industriale,SV,Savona,Liguria,Nord-ovest,Nord
SPO.IT1269A_20_GC-FID_2001-12-07_00:00:00,2021-07-31 6:00:00,31/07/2021,2021-07-31 7:00:00,31/07/2021,2021,"176,42799",Sarroch,"Via al Mare, 2, 09018 Sarroch CA, Italy",suburban,"39,07000","9,01667",IT1269A,industriale,CA,Cagliari,Sardegna,Isole,Sud e isole
SPO.IT1269A_20_GC-FID_2001-12-07_00:00:00,2021-07-30 22:00:00,30/07/2021,2021-07-30 23:00:00,30/07/2021,2021,"169,226",Sarroch,"Via al Mare, 2, 09018 Sarroch CA, Italy",suburban,"39,07000","9,01667",IT1269A,industriale,CA,Cagliari,Sardegna,Isole,Sud e isole
SPO.IT1898A_20_GC-FID_2008-09-16_00:00:00,2017-07-11 15:00:00,11/07/2017,2017-07-11 16:00:00,11/07/2017,2017,"164,66186",Trapani,"Giardino - Ingresso lato nord, Viale Marche, 91100 Trapani TP, Italy",urban,"38,01237","12,54689",IT1898A,fondo,TP,Trapani,Sicilia,Isole,Sud e isole
SPO.IT0614A_20_GC-FID_2014-01-01_00:00:00,2016-05-29 7:00:00,29/05/2016,2016-05-29 8:00:00,29/05/2016,2016,"162,823734",Priolo Gargallo,"Via del Fico, 1, 96010 Priolo Gargallo SR, Italy",urban,"37,15612","15,19087",IT0614A,fondo,SR,Siracusa,Sicilia,Isole,Sud e isole
SPO.IT2108A_20_GC-PID_2012-01-01_00:00:00,2020-03-18 8:00:00,18/03/2020,2020-03-18 9:00:00,18/03/2020,2020,"158,23",Bragno,"Via Sergio Scaiola, 7, 17014 Bragno SV, Italy",suburban,"44,37494","8,29868",IT2108A,industriale,SV,Savona,Liguria,Nord-ovest,Nord
SPO.IT0614A_20_GC-FID_2014-01-01_00:00:00,2016-05-29 20:00:00,29/05/2016,2016-05-29 21:00:00,29/05/2016,2016,"151,018398",Priolo Gargallo,"Via del Fico, 1, 96010 Priolo Gargallo SR, Italy",urban,"37,15612","15,19087",IT0614A,fondo,SR,Siracusa,Sicilia,Isole,Sud e isole
SPO.IT1947A_20_GC-FID_2009-07-14_00:00:00,2021-07-31 7:00:00,31/07/2021,2021-07-31 8:00:00,31/07/2021,2021,"149,407",Sarroch,"Via Gioacchino Rossini, 25, 09018 Sarroch CA, Italy",urban,"39,06667","9,00889",IT1947A,fondo,CA,Cagliari,Sardegna,Isole,Sud e isole
SPO.IT1947A_20_GC-FID_2009-07-14_00:00:00,2021-07-31 6:00:00,31/07/2021,2021-07-31 7:00:00,31/07/2021,2021,"144,204",Sarroch,"Via Gioacchino Rossini, 25, 09018 Sarroch CA, Italy",urban,"39,06667","9,00889",IT1947A,fondo,CA,Cagliari,Sardegna,Isole,Sud e isole
